ID	Property	原文	英訳	絶対時間	Type	RDF用コメント	修正コメント	
8	When	月曜日	Monday	1887-07-06				
9	対象文	ロイヤル・マロウズはアイルランド連隊の一つである	Royal Mallows is one of the Irish regiments.					
9	情報源							
9	hasPredicate	equalTo	equalTo					
9	What	アイルランド連隊の一つ	one of the Irish regiments		Object			
9	Who	ロイヤル・マロウズ	Royal Mallows		Object			
10	対象文	月曜日の夜まで、バークリはロイヤル・マロウズを率いていた	Berkeley led the Royal Mallows until Monday evening.					
10	情報源							
10	hasPredicate	率いていた	lead					
10	Who	バークリ	Berkeley		Person			
10	What	ロイヤル・マロウズ	Royal Mallows		Object			
10	When	月曜日の夜まで	Monday evening	1887-07-06T20				
11	対象文	バークリは歴戦の勇者だった	Berkeley was a brave hero.					
11	情報源							
11	hasPredicate	equalTo	equalTo					
11	What	勇者	hero		Person	対応	typeはperson？	
11	Who	バークリ	Berkeley		Person			
12	対象文	バークリは初めは一兵卒だった	Berkeley was a soldier at first.					
12	情報源							
12	hasPredicate	一兵卒だった	soldier		Person	対応	typeを変更	
12	Who	バークリ	Berkeley		Person			
12	When	first	first	1856-07-06				
12	then	13	13					
13	対象文	バークリは、大反乱の活躍によって将校階級に昇進した	Berkeley was promoted to a senior rank by the Indian Rebellion.					
13	情報源							
13	hasPredicate	昇進した	promote					
13	Who	バークリ	Berkeley		Person			
13	From	一兵卒	solider		Object			
13	To	将校階級	senior rank		Object			
13	Why	大反乱の活躍	Indian Rebellion		Object	対応	「によって」は不要	
13	When	大反乱	Indian Rebellion	1860-07-06				
14	対象文	バークリとナンシィは結婚した	Berkeley and Nancy got married.					
14	情報源							
14	hasPredicate	結婚した	marry					
14	Who	バークリとナンシィ	Berkeley AND Nancy		Person			
14	at the same time	15	15					
15	対象文	その時、バークリは軍曹だった	"At that time, Berkeley was a sergeant."					
15	情報源							
15	hasPredicate	equalTo	equalTo					
15	Who	バークリ	Berkeley		Person			
15	What	軍曹	sergeant		Person	対応	typeを変更？	
15	When	その時	at that time	1859-07-06				
16	対象文	ナンシィはロイヤル・マロウズの元軍旗軍曹の娘である	Nancy is the daughter of former sergeant of armies of Royal Mallows.					
16	情報源							
16	hasPredicate	equalTo	equalTo					
16	Who	ナンシィ	Nancy		Person			
16	What	元軍旗軍曹の娘	daughter of former sergeant of armies		Object	対応	ロイヤル・マロウズはwhereで分けてもよいかも？	
16	Where	ロイヤル・マロウズ	Royal Mallows		Object			
17	対象文	バークリとナンシィは人付き合いをできなかった	Berkeley and Nancy could not get along.					
17	情報源							
17	hasProperty	人付き合いをできなかった	notSociable					
17	Who	バークリとナンシィ	Berkeley AND Nancy		Person			
18	対象文	ナンシィはロイヤル・マロウズの人気者である	Nancy is popular with Royal Mallows.					
18	情報源							
18	hasProperty	人気者である	popular					
18	Who	ナンシィ	Nancy		Person			
18	Where	ロイヤル・マロウズ	Royal Mallows		Object			
19	対象文	ナンシィは美人である	Nancy is a beauty.					
19	情報源							
19	hasProperty	美人である	beauty					
19	Who	ナンシィ	Nancy		Person			
20	対象文	30年以上、ナンシィは美人である	"For over 30 years, Nansy is a beauty."					
20	情報源							
20	hasProperty	美人である	beauty					
20	Who	ナンシィ	Nancy		Person			
20	When	30年以上	over 30 years					
20	begin			1856-07-06				
21	対象文	バークリは幸福であった	Berkeley was happy.					
21	情報源							
21	hasProperty	幸福	happy					
21	Who	バークリ	Berkeley		Person			
22	対象文	マーフィは以下を言った	Murphy said the following					
22	情報源							
22	hasPredicate	言った	tell					
22	Who	マーフィ	Murphy		Person			
22	Whom	ホームズ	Holmes		Person			
22	Time			1887-07-08				
22	What	"23,24,25,26,27,28"	"23,24,25,26,27,28"					
23	対象文	バークリとナンシィは、言い争わなかった	Barkeley and Nancy did not argue.					
23	情報源	22	22					
23	hasPredicate	言い争わなかった	notArgue					
23	Who	バークリとナンシィ	Berkeley AND Nancy		Person			
24	対象文	バークリはナンシィを情熱的に愛していた	Berkeley had loved passionately the Nancy.					
24	情報源	22	22					
24	hasPredicate	愛していた	love					
24	Who	バークリ	Berkeley		Person			
24	Whom	ナンシィ	Nancy		Person			
24	How	情熱的に	passionately					
25	対象文	ナンシィはバークリを情熱的には愛していなかった	Nancy is passionate the Berkeley did not love.					
25	情報源	22	22					
25	hasPredicate	愛していなかった	notLove					
25	Who	ナンシィ	Nancy		Person			
25	Whom	バークリ	Berkeley		Person	対応	英訳をBerkeleyに統一	
25	How	情熱的に	passionately					
26	対象文	ナンシィとバークリはロイヤル・マロウズの中で中年夫婦の理想像であった	Nancy and Berkeley was the ideal image of a middle-aged couple in the Royal Mallows.					
26	情報源	22	22					
26	hasPredicate	equalsTo	ideal image of middle-aged couple		Object	対応	equalsToで理想像？	
26	Who	バークリとナンシィ	Berkeley AND Nancy		Person			
26	Where	ロイヤル・マロウズの中	Royal Mallows		Object			
27	対象文	バークリは変わった性格である	Berkeley is the unusual character.					
27	情報源	22	22					
27	hasProperty	変わっている	unusual					
27	Who	バークリの性格	character of Berkeley		Object			
28	対象文	バークリは快活な老兵である	Berkeley is a light-hearted old soldier.					
28	情報源	22	22					
28	hasPredicate	equalTo	equalTo					
28	Who	バークリ	Berkeley		Person	対応	英訳をBerkeleyに統一	
28	What	老兵	old soldier		Person	対応	typeはperson？	
29	対象文	バークリはたまに凶暴になる	Berkeley sometimes become violent.					
29	情報源							
29	hasProperty	凶暴になる	violent					
29	Who	バークリ	Berkeley		Person			
29	When	たまに	sometimes					
30	対象文	バークリはたまに執念深くなる	Berkeley is sometimes obsessive.					
30	情報源							
30	hasProperty	執念深くなる	obsessive					
30	Who	バークリ	Berkeley		Person			
30	When	たまに	sometimes					
31	対象文	バークリはナンシィに凶暴にならない	Berkeley won't go bad at Nancy.					
31	情報源							
31	hasProperty	凶暴にならない	notViolent					
31	Who	バークリ	Berkeley		Person			
31	Whom	ナンシィ	Nancy		Person			
32	対象文	バークリはナンシィに執念深くない	Berkeley is not obsessive to Nancy.					
32	情報源							
32	hasProperty	執念深くない	notObsessive					
32	Who	バークリ	Berkeley		Person			
32	Whom	ナンシィ	Nancy		Person			
33	対象文	何日間も、バークリは気が滅入る	Berkeley feels down for many days.					
33	情報源							
33	hasPredicate	気が滅入る	feel down					
33	Who	バークリ	Berkeley		Person			
33	When	何日間	many days					
34	対象文	バークリは迷信を信じている	Berkeley believe in superstition.					
34	情報源							
34	hasPredicate	信じている	believe					
34	Who	バークリ	Berkeley		Person			
34	What	迷信	superstition		Object			
35	対象文	バークリは以下を嫌がる	Berkeley dislike the following.					
35	情報源							
35	hasPredicate	嫌がる	notLike					
35	Who	バークリ	Berkeley		Person			
35	What	36	36					
36	対象文	夜に、バークリは一人である	"At night, Berkeley is one person."					
36	情報源							
36	hasProperty	一人である	alone					
36	When	夜に	night					
36	Who	バークリ	Berkeley		Person			
37	対象文	バークリは、雄々しい性格となよなよした性格	Berkeley has a supple personality and heroic personality.					
37	情報源							
37	hasProperty	雄々しい性格となよなよした性格	heroic personallity AND supple personality					
37	Who	バークリ	Berkeley		Person			
39	対象文	ロイヤル・マロウズ第一大隊はオールダショットに駐留している	The first battalion Royal Mallows are stationed in Aldershot.					
39	情報源							
39	hasPredicate	駐留している	station					
39	Who	ロイヤル・マロウズ第一大隊	first battalion of Royal MAllows		Object			
39	Where	オールダショット	Aldershot		Place			
40	対象文	バークリは家を借りていた	Berkeley had rented a house.					
40	情報源							
40	hasPredicate	借りていた	rent					
40	Who	バークリ	Berkeley		Person	対応	英訳をBerkeleyに統一	
40	What	家	house		Object			
41	対象文	バークリの家の名前はラシーンである	The name of the house of Berkeley is a Rasheen.					
41	情報源							
41	hasPredicate	equalTo						
41	Who	バークリの家の名前	name of house of Berkeley		Object			
41	What	ラシーン	Rasheen		Place			
42	対象文	ラシーンは庭に囲まれている	Rasheen is surrounded by garden.					
42	情報源							
42	hasPredicate	囲まれている	beSurrounded					
42	Who	ラシーン	Rasheen		Place			
42	What	庭	gardern		Place			
43	対象文	ラシーンは北部キャンプから0.5マイルに位置している	Rasheen is located 0.5 miles from the northern camp.					
43	情報源							
43	hasPredicate	位置している	beLocated					
43	Who	ラシーン	Rasheen		Place			
43	Where	北部キャンプから0.5マイル	0.5 miles from the northern camp		Place	対応	typeはPlace？	
44	対象文	ラシーンは大通りから30ヤード以内に位置している	Rasheen is located within 30 yards from the main street.					
44	情報源							
44	hasPredicate	位置している	beLocated					
44	Who	ラシーン	Rasheen		Place			
44	Where	大通りから30ヤード以内	30 yards from the main street		Place	対応	typeはPlace？	
45	対象文	御者とジェインと料理人とバークリとナンシィがラシーンに住んでいる	Coachman and Jane and cooking people and Berkeley and Nancy live in Rasheen.					
45	情報源							
45	hasPredicate	住んでいる	live					
45	Who	バークリとナンシィと御者とジェインと料理人	Berkeley AND Nancy AND coachman AND Jane AND cook		Person			
45	Where	ラシーン	Rasheen		Place			
46	対象文	バークリは子どもをもっていない	Berkeley do not have a child.					
46	情報源							
46	hasPredicate	もっていない	notHave					
46	Who	バークリ	Berkeley		Person			
46	What	子ども	child		Person	対応	typeを変更？	
47	対象文	バークリは滅多に客を泊まらせない	Berkeley is rarely not stay overnight guests.					
47	情報源							
47	hasPredicate	持たない	have					
47	Who	バークリ	Berkeley		Person			
47	How	ほとんど	rarely					
47	What	客	guest		Person	対応	typeを変更	
48	対象文	事件はラシーンで月曜日21時から22時の間に起こった	The incident happened in the 22 o'clock from Monday 21 o'clock in Rasheen.					
48	情報源							
48	hasPredicate	起こった	happen					
48	Who	事件	incident		Object			
48	Where	ラシーン	Rasheen		Place	対応	「で」は不要	
48	When	月曜日21時から22時の間に	22 o'clock from Monday 21 o'clock	1887-07-06T21:00:00				
49	対象文	ナンシィは聖ジョージ組合の設立に関わっていた	Nancy had been involved in the establishment of St. George union.					
49	情報源							
49	hasPredicate	関わっていた	involve					
49	Who	ナンシィ	Nancy		Person			
49	What	聖ジョージ組合の設立に	St. George union		Object			
50	対象文	ナンシィは聖ジョージ組合の会合に出席した	Nancy attended the meeting of the St. George's union.					
50	情報源							
50	hasPredicate	出席した	attend					
50	Who	ナンシィ	Nancy		Person			
50	What	聖ジョージ組合の会合	meeting of the St. George union		Object			
51	対象文	御者は以下を聞いた	Coachman heard the following.					
51	情報源							
51	hasPredicate	聞いた	hear					
51	Who	御者	coachman		Person			
51	What	52	52					
52	対象文	ナンシィは会合から早く帰る	Nancy is go home early from the meeting.					
52	情報源	51						
52	hasPredicate	行く	go					
52	To	家	home		Object			
52	Who	ナンシィ	Nancy		Person			
52	From	会合	meeting of the St. George union		Object	対応	From？	
52	How	早く	early					
53	対象文	モリソンは若い女性である	Morrison is a young woman.					
53	情報源							
53	hasProperty	若い女性である	young woman					
53	Who	モリソン	Morrison		Person			
54	対象文	モリソンはラシーンの隣に住んでいる	Morrison lives next to the Rasheen.					
54	情報源							
54	hasPredicate	住んでいる	live					
54	Who	モリソン	Morrison		Person			
54	NextTo	ラシーン	Rasheen		Place			
55	対象文	ナンシィとモリソンは一緒に聖ジョージ組合の会合に行った	Nancy and Morrison went to the meeting of the St. George union together.					
55	情報源							
55	hasPredicate	行った	go					
55	Who	ナンシィ	Nancy		Person	対応	分割して良いのでは？	
55	Who	モリソン	Morrison		Person			
55	How	一緒に	together					
55	Where	聖ジョージ組合の会合	meeting of the St. George union		Object			
56	対象文	聖ジョージ組合の会合は月曜日の20時に開始した	Meeting of the St. George union was started at Monday 20.					
56	情報源							
56	hasPredicate	開始した	start					
56	Who	聖ジョージ組合の会合	meeting of the St. George union		Object			
56	When	月曜日20時	20 am on Monday	1887-07-06T20:00:00				
57	対象文	聖ジョージ組合の会合は月曜日の20時40分に終了した	Meeting of the St. George union was completed in 20 hours 40 minutes Monday.					
57	情報源							
57	hasPredicate	終了した	end					
57	Who	聖ジョージ組合の会合	meeting of the St. George union		Object			
57	When	月曜日20時40分	20:40 on Monday	1887-07-06T20:40:00				
58	対象文	ナンシィは月曜日の21時15分にラシーンに帰った	Nancy went back to Rasheen at 21:15 on Monday.					
58	情報源							
58	hasPredicate	着く	arrive					
58	Who	ナンシィ	Nancy		Person			
58	Where	ラシーン	Rasheen		Place			
58	When	月曜日21時15分	21:15 on Monday	1887-07-06T21:15:00				
59	対象文	モリソンは月曜日の21時15分にラシーンの前にいた	Morrison was in front of the Rasheen to 21 o'clock 15 minutes Monday.					
59	情報源							
59	hasPredicate	いる	exist					
59	Who	モリソン	Morrison		Person			
59	Where	ラシーンの前	in front of Rasheen		Place			
59	When	月曜日21時15分	21:15 on Monday	1887-07-06T21:15:00				
60	対象文	ラシーンは居間の部屋を一つもつ	Living room is one in Rasheen.				ラシーンは居間を持つ，とか？	
60	情報源						居間の部屋→居間ではどうか？	
60	hasPredicate	持つ	have				↑対応	
60	Who	ラシーン	Rasheen		Place			
60	What	居間	living room		Place		「居間」と「居間の部屋」は別物？	
60	How	一つ	one					
61	対象文	居間の部屋は大通りに面している	Living room of the rooms are facing the main street.					
61	情報源							
61	hasPredicate	面している	face					
61	Who	居間の部屋	living room		Place			
61	What	大通り	main street		Place			
62	対象文	居間の部屋は大きなガラスの扉をもっている	Living room of the room has a door of the large glass.					
62	情報源							
62	hasPredicate	もっている	have					
62	Who	居間の部屋	living room		Place			
62	What	大きなガラスの扉	door of the large galass		Object		91と英訳が異なる	
63	対象文	住人は居間の部屋から庭に出れる	Residents will be out in the garden from the living room of the room.					
63	情報源							
63	hasPredicate	行ける	canGo					
63	Who	住人	resident		Person			
63	To	庭	garden		Place			
63	From	居間の部屋	living room		Place	対応	から，は取ってはどうか？	
65	対象文	庭の広さは30ヤード	Garden has a size of 30 yards.					
65	情報源							
65	hasPredicate	equalTo	equalTo					
65	Who	庭の広さ	size of Garden		Object			
65	What	30ヤード	30 yards		Object			
66	対象文	庭と大通りは塀で分けられている	Garden and main street are separated by fence.					
66	情報源							
66	hasPredicate	分けられている	beSeparated					
66	Who	庭	garden		Place	対応	分割してもよいのでは？	
66	Who	大通り	main stree		Place			
66	How	塀	wall			対応	で，は取ってはどうか？他の箇所も	
67	対象文	塀は鉄柵を持つ	Fence with the iron fence.					
67	情報源							
67	hasPredicate	持つ	have					
67	Who	塀	wall		Object			
67	What	鉄柵	iron fence		Object			
68	対象文	塀は低い	Fence is low.					
68	情報源							
68	hasProperty	低い	low					
68	Who	塀	wall		Object			
69	対象文	ナンシィは21時15分に居間の部屋にいた	Nancy was in the living room of the room in 15 minutes at 21.					
69	情報源							
69	hasPredicate	いた	exist					
69	Who	ナンシィ	Nancy		Person			
69	When	21:15	21:15	1887-07-06T21:15:00				
69	Where	居間の部屋	living room		Place			
70	対象文	居間の部屋は滅多に夜に使われない	Living room of the room is not rarely used at night.					
70	情報源							
70	hasPredicate	使われない	notBeUsed			対応	notBeUsed?	
70	Who	居間の部屋	living room		Place			
70	How	ほとんど	usually					
70	When	夜	night					
71	対象文	居間の部屋は21時15分に日よけをしていなかった	Living room of the room did not have a sunshade to 15 minutes at 21.					
71	情報源							
71	hasPredicate	持たない	notHave			対応	日よけを持たない，とか？	
71	What	日よけ	sunshade					
71	Who	居間の部屋	living room		Place			
71	When	21:15	21:15	1887-07-06T21:15:00				
72	対象文	ナンシィは居間の部屋のランプをつけた	Nancy turned on the lamp in the living room of the room.					
72	情報源							
72	hasPredicate	つけた	turn on					
72	Who	ナンシィ	Nancy		Person			
72	What	居間の部屋のランプ	lamp of living room		Object			
73	対象文	ジェインはナンシィに紅茶を頼まれた	Jane was asked a tea Nancy.					
73	情報源							
73	hasPredicate	頼まれた	beAsked					
73	Who	ジェイン	Jane		Person			
73	Whom	ナンシィ	Nancy		Person			
73	What	紅茶	tea		Object			
74	対象文	上記は習慣ではない	The above is not a habit.					
74	情報源							
74	hasProperty	習慣ではない	notHabit					
74	Who	73	73					
75	対象文	バークリは食堂にいた	Berkeley was in the dining room.					
75	情報源							
75	hasPredicate	いた	exist					
75	Who	バークリ	Berkeley		Person		英訳をBerkeleyに統一	
75	Where	食堂	dining room		Place			
76	対象文	御者は以下を見た	Coachman saw the following.					
76	情報源							
76	hasPredicate	見た	see					
76	Who	御者	coachman		Person			
76	What	77	77					
77	対象文	バークリは居間の部屋でナンシィに会った	Berkeley met Nancy in the living room of the room.					
77	情報源	76						
77	hasPredicate	会った	meet					
77	Who	バークリ	Berkeley		Person			
77	Where	居間の部屋	living room		Place			
77	Whom	ナンシィ	Nancy		Person	対応	「に」は不要	
78	対象文	バークリは居間の部屋で死んだ	Berkeley died in the living room of the room.					
78	情報源							
78	hasPredicate	死んだ	die					
78	Who	バークリ	Berkeley		Person			
78	Where	居間の部屋	living room		Place			
79	対象文	ジェインは21時25分に居間の部屋に紅茶を持って行った	Jane took tea in the living room of the room in 25 minutes at 21.					
79	情報源							
79	hasPredicate	持って行った	take					
79	Who	ジェイン	Jane		Person			
79	When	21:25	21:25	1887-07-06T21:25:00				
79	To	居間の部屋	living room		Place			
79	What	紅茶	tea		Object			
80	対象文	ジェインは以下を聞いた	Jane heard the following.					
80	情報源							
80	hasPredicate	聞いた	hear					
80	Who	ジェイン	Jane		Person			
80	What	81	81					
81	対象文	バークリとナンシィが居間の部屋で言い争っていた	Berkeley and Nancy had been arguing in the living room of the room.					
81	情報源	80						
81	hasPredicate	言い争っていた	argue					
81	Who	バークリとナンシィ	Berkeley AND Nancy		Person			
81	Where	居間の部屋	living room		Place			
82	対象文	バークリとナンシィは居間の部屋のドアノックに反応しなかった	Berkeley and Nancy did not respond to knocking on the room door in the living room.					
82	情報源							
82	hasPredicate	反応しなかった	notRespond					
82	Who	バークリとナンシィ	Berkeley AND Nancy		Person			
82	What	ドアノック	knocking		Object			
82	Where	居間の部屋	living room		Place			
83	対象文	居間の部屋は鍵がかかっていた	Living room of the room was locked.					
83	情報源							
83	hasPredicate	鍵がかかっていた	beLocked					
83	Who	居間の部屋	living room		Place			
84	対象文	ジェインは料理番を呼んだ	Jane called the cook.					
84	情報源							
84	hasPredicate	呼んだ	call					
84	Who	ジェイン	Jane		Person			
84	What	料理番	cook		Person			
85	対象文	ジェインと料理番と御者は以下を聞いた	Jane and the cook and the coachman heard the following.					
85	情報源							
85	hasPredicate	聞いた	hear					
85	Who	ジェインと料理番と御者	Jane AND cook AND coachman		Person		2人を指していてもtypeはperson?	
85	What	"86,87,88,89"	"86,87,88,89"					
86	対象文	バークリとナンシィは言い争っていた	Berkeley and Nancy had been arguing.					
86	情報源							
86	hasPredicate	言い争っていた	argue					
86	Who	バークリとナンシィ	Berkeley AND Nancy		Person			
87	対象文	ナンシィは何度も卑怯者と叫んだ	Nancy cried the cowards many times.					
87	情報源							
87	hasPredicate	叫んだ	shout					
87	Who	ナンシィ	Nancy		Person			
87	How	何度も	many times					
87	What	卑怯者	coward		Person	対応	typeはperson？	
88	対象文	バークリは叫んだ	Berkeley shouted.					
88	情報源							
88	hasPredicate	叫んだ	shout					
88	Who	バークリ	Berkeley		Person			
89	対象文	ナンシィは悲鳴をあげた	Nancy screamed.					
89	情報源							
89	hasPredicate	悲鳴あげた	scream					
89	Who	ナンシィ	Nancy		Person			
90	対象文	御者は居間の部屋の大きなガラスの扉へ行った	Coachman went to the door of the large glass in the living room of the room.					
90	情報源							
90	hasPredicate	行った	go					
90	Who	御者	coachman		Person			
90	To	居間の部屋の大きなガラスの扉	large glass door of living room		Object			
91	対象文	大きなガラスの扉は開いていた	Door of the large glass was open.					
91	情報源							
91	hasPredicate	開いていた	open					
91	Who	大きなガラスの扉	large glass door of living room		Object		62と英訳が異なる	
92	対象文	御者は居間の部屋に入った	Coachman entered the room in the living room.					
92	情報源							
92	hasPredicate	入った	enter					
92	Who	御者	coachman		Person			
92	Where	居間の部屋	living room		Place			
93	対象文	御者は以下を見た	Coachman saw the following.					
93	情報源							
93	hasPredicate	見た	see					
93	Who	御者	coachman		Person			
93	What	"94,95"	"95,95"					
94	対象文	ナンシィは気を失っていた	Nancy had fainted.					
94	情報源							
94	hasPredicate	気を失っていた	faint					
94	Who	ナンシィ	Nancy		Person			
95	対象文	バークリは炉格子の近くで死んでいた	Berkeley was dead in the vicinity of the furnace lattice.					
95	情報源							
95	hasPredicate	死んでいた	die					
95	Who	バークリ	Berkeley		Person			
95	Near	炉格子	furnace lattice		Object			
96	対象文	居間の部屋の鍵は部屋になかった	There was no room key in the living room.					
96	情報源							
96	hasPredicate	なかった	notExist					
96	Who	居間の部屋の鍵	key of living room		Object			
96	Where	居間の部屋	living room		Place			
97	対象文	御者は警察と医者を呼んだ	Coachman have called the police and a doctor.					
97	情報源							
97	hasPredicate	呼んだ	call					
97	Who	御者	coachman		Person			
97	What	警察と医者	police AND doctor		Person		「と」は分割してもよいのでは？	
98	対象文	警察は以下を思った	The police thought the following.					
98	情報源							
98	hasPredicate	思った	think					
98	Who	警察	police		Person			
98	What	99	99					
99	対象文	ナンシィは犯人に近い	Nancy is close to criminal.					
99	情報源	98						
99	hasProperty	近い	close					
99	Who	ナンシィ	Nancy		Person			
99	What	犯人	criminal		Person		252の「事件の犯人」と区別すべき？	
100	対象文	ナンシィは気を失っていた	Nancy had fainted.					
100	情報源							
100	hasPredicate	気を失っていた	faint					
100	Who	ナンシィ	Nancy		Person			
101	対象文	ナンシィは自室へ移された	Nancy was transferred to his room.					
101	情報源							
101	hasPredicate	移された	beMoved					
101	Who	ナンシィ	Nancy		Person			
101	To	ナンシィの部屋	room of Nancy		Place			
102	対象文	バークリは鈍器によって殺された	Berkeley was killed by blunt weapons					
102	情報源							
102	hasPredicate	殺された	beKilled					
102	Who	バークリ	Berkeley		Person			
102	How	鈍器によって	blunt weapon					
103	対象文	バークリは後頭部に2インチの裂傷を負っていた	Berkeley had suffered a two-inch laceration to the back of the head.					
103	情報源							
103	hasPredicate	持っていた	have					
103	Who	バークリ	Berkeley		Person			
103	Where	バークリの後頭部	back of head of Berkeley		Object			
103	What	2インチの裂傷	2-inch tear		Object			
104	対象文	警察は以下を思った	The police thought the following.					
104	情報源							
104	hasPredicate	思った	think					
104	Who	警察	police		Person			
104	What	105	105					
105	対象文	バークリは木彫りの棍棒で殺された	Berkeley was killed by a wooden carving stick.					
105	情報源	104						
105	hasPredicate	殺された	beKilled					
105	Who	バークリ	Berkeley		Person			
105	How	棍棒で	stick					
106	対象文	バークリは出先で武器を収集していた	Berkeley had collected the weapons on the go.					
106	情報源							
106	hasPredicate	収集していた	collect					
106	Who	バークリ	Berkeley		Person			
106	What	武器	weapon		Object			
107	対象文	警察は以下を思った	The police thought the following.					
107	情報源							
107	hasPredicate	思った	think					
107	Who	警察	police		Person			
107	What	108	108					
108	対象文	木彫りの棍棒はバークリが収集した	Wood carving of the club is Berkeley has collected.					
108	情報源	警察の考え	Idea of police					
108	hasPredicate	収集した	collect					
108	What	棍棒	stick		Object			
108	Who	バークリ	Berkeley		Person			
109	対象文	ジェインと御者と料理番は木彫りの棍棒を知らなかった	Jane and the coachman and the cook did not know the wood carving of the club.					
109	情報源							
109	hasPredicate	知らなかった	notKnow					
109	Who	ジェインと御者と料理番	Jane AND coachman AND cook		Person		2人を指していてもtypeはperson?	
109	What	木彫りの棍棒	stick		Object			
110	対象文	ジェインと御者と料理番は木彫りの棍棒を見落としている	Jane and the coachman and the cook have overlooked a wood carving of the club.					
110	情報源							
110	hasPredicate	見落としている	overlook					
110	Who	ジェインと御者と料理番	Jane AND coachman AND cook		Person		2人を指していてもtypeはperson?	
110	What	棍棒	stick		Object			
111	対象文	バークリとナンシィは鍵を持っていなかった	Berkeley and Nancy did not have the key.					
111	情報源							
111	hasPredicate	持っていなかった	notHave					
111	Who	バークリとナンシィ	Berkeley AND Nancy		Person			
111	What	鍵	key of living room		Object			
112	対象文	ジェインは以下を聞いた	Jane heard the following.					
112	情報源							
112	hasPredicate	聞いた	hear					
112	Who	ジェイン	Jane		Person			
112	What	113	113					
113	対象文	ナンシィは2度、デイヴィドと言った	Nancy said David twice.					
113	情報源	ジェインの発言	Remark by Jane					
113	hasPredicate	言った	say					
113	Who	ナンシィ	Nancy		Person			
113	How	2度	twice					
113	What	デイヴィド	David		Person			
114	対象文	警察と御者とジェインと料理番は以下を見た	Police and coachman and Jane and cook saw the following.					
114	情報源							
114	hasPredicate	見た	see					
114	Who	警察と御者とジェインと料理番	police AND coachman AND Jane AND cook		Person		「と」は分割してもよいのでは？	
114	What	115	115					
115	対象文	バークリの顔は極度に歪んでいた	Face of Berkeley was distorted in extreme.					
115	情報源							
115	hasPredicate	歪んでいた	distort					
115	Who	バークリの顔	face of Berkeley		Object			
115	How	極度に	extreme					
117	対象文	ホームズは以下を思った	Holmes thought the following.					
117	情報源							
117	hasPredicate	思った	think					
117	Who	ホームズ	Holmes		Person			
117	What	118	118					
118	対象文	ナンシィは犯人としての矛盾を持たない	Nancy does not have a conflict of as criminal.					
118	情報源	ホームズの考え	Idea of Holmes					
118	hasPredicate	矛盾しない	notContradict					
118	Who	ナンシィ	Nancy		Person			
118	What	犯人	criminal		Person		252の「事件の犯人」と区別すべき？	
119	対象文	ナンシィは情報を話せなかった	Nancy could not speak information.					
119	情報源							
119	hasPredicate	話せなかった	cannotSpeak					
119	Who	ナンシィ	Nancy		Person			
119	What	情報	information		Object			
121	対象文	一時的に、ナンシィは心神喪失であった	"Temporarily, Nancy was a loss of mind"					
121	情報源							
121	hasProperty	心神喪失であった	criminal irresponsibility					
121	Who	ナンシィ	Nancy		Person			
121	When	一時的	temporarily					
122	対象文	警察は以下を言った	Police said the following:.					
122	情報源							
122	hasPredicate	言った	say					
122	Who	警察	police		Person			
122	What	123	123					
123	対象文	モリソンは以下をわからない	Morrison do not know the following:.					
