ID	Property	原文	英訳	絶対時間	Type	RDF用コメント	修正コメント	修正作業
9	Where	ポルデュー湾のコテージに	cottage of Pordeux Bay			MOD	「に」は不要	
9	When	3月16日朝食直後	Immediately after breakfast on March 16	1897-03-16T08			絶対時間の追加？	
10	対象文	ラウンドヘイは動揺していた	Roundhay was upset					
10	情報源							
10	hasPredicate	動揺していた	upset					
10	Who	ラウンドヘイ	Roundhay					
11	対象文	ラウンドヘイは以下を言った	Roundhay said the following					
11	情報源							
11	hasPredicate	言った	say					
11	Who	ラウンドヘイ	Roundhay					
11	What	12,13,14	12, 13, 14					以下や上記は文番号に変える（複数の場合あり）．対応する文に情報源を入れる
12	対象文	昨日の夜に、事件が起きた	An incident happened yesterday night					
12	情報源	ラウンドヘイの発言	Remark by Roundhay					ラウンドヘイの発言
12	hasPredicate	起きた	happen			MOD		
12	Who	事件	Case 1					
12	When	昨日の夜	night of Yesterday 	1897-03-15T20		MOD		
13	対象文	事件は異常だ	The incident is unusual					
13	情報源	ラウンドヘイの発言	Remark by Roundhay					ラウンドヘイの発言
13	hasProperty	異常だ	abnormal					
13	Who	事件	Case 1					
14	対象文	事件は悲劇的だ	The incident is tragic					
14	情報源	ラウンドヘイの発言	Remark by Roundhay					ラウンドヘイの発言
14	hasProperty	悲劇的だ	tragic			MOD		
14	Who	事件	Case 1					
15	対象文	ラウンドヘイとモーティマーは落ち着かなかった	Roundhay and Mortimer were not comfortable					
15	情報源							
15	hasPredicate	落ち着かなかった	notCalm			MOD		
15	Who	ラウンドヘイ	Roundhay					
15	Who	モーティマー	Mortimer					
16	対象文	モーティマーはラウンドヘイに以下を尋ねた	Mortimer asked Roundhey:					
16	情報源							
16	hasPredicate	尋ねた	ask			MOD		
16	Who	モーティマー	Mortimer					
16	Whom	ラウンドヘイ	Roundhay					Whomに変更
16	What	17	17					
17	対象文	モーティマーが話をする	Mortimer talks					
17	情報源	モーティマーの質問	Mortimer's question				「私がお話しましょうか、それとも？」と、モーティマー・トリジェニスはラウンドヘイ牧師に尋ねた。／モーティマーの発言 , Remark by Mortimer	
17	hasPredicate	する	talk			MOD		
17	Who	モーティマー	Mortimer					
18	対象文	ホームズは以下を言った	Holmes said the following					
18	情報源							
18	hasPredicate	言った	say					
18	Who	ホームズ	Holmes					
18	What	19	19					
19	対象文	モーティマーが第一発見者だった	Mortimer was the first finder					
19	情報源	ホームズの発言	Remark by Holmes				Remark by Holmes	
19	hasProperty	第一発見者だった	First discoverer					
19	Who	モーティマー	Mortimer					
20	対象文	ラウンドヘイに話を勧めた	I recommended talk to Roundhay					
20	情報源							
20	hasPredicate	勧めた	recommend			MOD	WhoにHolmesを追加？	
20	Whom	ラウンドヘイ	Roundhay					
20	What	話	Talk					
21	対象文	ラウンドヘイは以下を言った	Roundhay said the following					
21	情報源							
21	hasPredicate	言った	say					
21	Who	ラウンドヘイ	Roundhay					
21	What	22-56	22-56				ハイフンによる範囲指定の場合のRDF変換スクリプト対応が必要のようです	
22	対象文	オーウェンとジョージとブレンダはモーティマーの家族である	Owen, George, and Brenda are Mortimer's families					
22	情報源	ラウンドヘイの発言	Remark by Roundhay				Remark by Roundhay	
22	hasPredicate	である	equalTo			MOD		
22	What	モーティマーの家族	Family_of_Mortimer					
22	Who	ジョージ	George					とトル
22	Who	ブレンダ	Brenda					
22	Who	オーウェン	Owen					とトル
23	対象文	トリジェニス家はトリダニック・ワーサにある	The Trigenis are in Toridanic Wasa					
23	情報源	ラウンドヘイの発言	Remark by Roundhay					
23	hasPredicate	ある	exist			MOD		
23	Who	トリジェニス家	House of Trigenis			MOD		
23	Where	トリダニック・ワーサ	Toridnik Wasa					
24	対象文	10時過ぎで、モーティマーはトリジェニス家から帰った	After 10 o'clock, Mortimer came home from Trigenis.					
24	情報源	ラウンドヘイの発言	Remark by Roundhay					
24	hasPredicate	帰った	return			MOD		
24	When	10時過ぎ	Past 10 o'clock					
24	Who	モーティマー	Mortimer					
24	From	トリジェニス家	House of Trigenis			MOD		From
25	対象文	10時過ぎで、オーウェンとジョージとブレンダはカードゲームをしていた	After 10 o'clock, Owen, George and Brenda were playing card games					
25	情報源	ラウンドヘイの発言	Remark by Roundhay					
25	hasPredicate	していた	playing					
25	Who	ジョージ	George					
25	Who	ブレンダ	Brenda					
25	Who	オーウェン	Owen					
25	When	10時過ぎ	Past 10 o'clock					
25	What	カードゲーム	Card game				at the same time 26?	
26	対象文	10時過ぎで、オーウェンとジョージとブレンダは元気だった	After 10 o'clock Owen, George and Brenda were fine					
26	情報源	ラウンドヘイの発言	Remark by Roundhay					
26	hasPredicate	元気だった	fine			MOD		
26	Who	ジョージ	George					
26	Who	ブレンダ	Brenda					
26	Who	オーウェン	Owen					
26	When	10時過ぎ	Past 10 o'clock					
27	対象文	今朝、モーティマーは早起きをした	Mortimer got up early this morning					
27	情報源	ラウンドヘイの発言	Remark by Roundhay					
27	hasPredicate	起きた	wakeUp			MOD		
27	Who	モーティマー	Mortimer					
27	When	朝早く	early morning			MOD		
27	then	28	28					
28	対象文	朝食前に、モーティマーはトリダニック・ワーサ方面へ散歩にいった	Before breakfast, Mortimer went for a walk in the direction of Toridanic Wasa					
28	情報源	ラウンドヘイの発言	Remark by Roundhay					
28	hasPredicate	散歩していた	walk			MOD		
28	When	朝食前	Before breakfast					
28	Who	モーティマー	Mortimer					
28	To	トリダニック・ワーサ	Toridan Wasa			MOD	「トリダニック・ワーサ」と「トリダニック・ワーサ方面」は区別すべき？	
28	then	29	29					
29	対象文	モーティマーはドクター・リチャードの四輪馬車に追いつかれた	Mortimer was caught up by Dr. Richard's four-wheeled carriage					
29	情報源	ラウンドヘイの発言	Remark by Roundhay					
29	hasPredicate	追いつかれた	catch			MOD		
29	Who	モーティマー	Mortimer					
29	Whom	ドクター・リチャード	Doctor Richard					
29	How	四輪馬車	four-wheeled carriage					
29	then	30	30					
30	対象文	モーティマーはドクター・リチャードに会った	Mortimer met Dr. Richard					
30	情報源	ラウンドヘイの発言	Remark by Roundhay					
30	hasPredicate	会った	meet					
30	Who	モーティマー	Mortimer					
30	What	ドクター・リチャード	Doctor Richard					
31	対象文	ドクター・リチャードは緊急連絡を受けた	Doctor Richard got an emergency call					
31	情報源	ラウンドヘイの発言	Remark by Roundhay					
31	hasPredicate	受けた	receive					
31	Who	ドクター・リチャード	Doctor Richard					
31	What	緊急連絡	Emergency call					
32	対象文	モーティマーとドクター・リチャードはトリダニック・ワーサに向かった	Mortimer and Dr. Richard headed for Toridanic Wasa					
32	情報源	ラウンドヘイの発言	Remark by Roundhay					
32	hasPredicate	向かった	go			MOD		
32	Who	モーティマー	Mortimer					
32	Who	ドクター・リチャード	Doctor Richard					
32	To	トリダニック・ワーサ	Toridnik Wasa					
33	対象文	モーティマーとドクター・リチャードはトリダニック・ワーサに到着した	Mortimer and Dr. Richard arrived at Toridanic Wortha					
33	情報源	ラウンドヘイの発言	Remark by Roundhay					
33	hasPredicate	到着した	arrive			MOD		
33	Who	モーティマー	Mortimer			MOD	"「と」は不要		
英訳も変更"	
33	Who	ドクター・リチャード	Doctor Richard					
33	Where	トリダニック・ワーサ	Toridnik Wasa					
34	対象文	トリジェニス家は異常だった	Trigenis was unusual					
34	情報源	ラウンドヘイの発言	Remark by Roundhay					
34	hasProperty	異常だった	abnormal			MOD		
34	Who	トリジェニス家	House of Trigenis			MOD		
35	対象文	オーウェンとジョージとブレンダはテーブルに座っていた	Owen and George and Brenda sat at a table					
35	情報源	ラウンドヘイの発言	Remark by Roundhay					
35	hasPredicate	座っていた	sit			MOD		
35	Who	ジョージ	George					
35	Who	ブレンダ	Brenda					
35	Who	オーウェン	Owen					
35	On	テーブル	table			MOD	どこのテーブルか区別すべき？	
36	対象文	カードがテーブルの上にあった	The card was on the table					
36	情報源	ラウンドヘイの発言	Remark by Roundhay					
36	hasPredicate	あった	exist			MOD		
36	Who	カード	card					
36	On	テーブル	table					On
37	対象文	蝋燭は燃え尽きていた	The candle was burned out					
37	情報源	ラウンドヘイの発言	Remark by Roundhay					
37	hasPredicate	燃え尽きていた	burnOut			MOD		
37	Who	蝋燭	candle					
38	対象文	ブレンダは椅子にもたれていた	Brenda was leaning on a chair					
38	情報源	ラウンドヘイの発言	Remark by Roundhay					
38	hasPredicate	もたれていた	leaning			MOD		
38	Who	ブレンダ	Brenda					
38	Where	椅子	Chair				at the same time 37? あるいは絶対時間で対応？	
39	対象文	ブレンダは死んでいた	Brenda was dead					
39	情報源	ラウンドヘイの発言	Remark by Roundhay					
39	hasProperty	死んでいた	dead			MOD		
39	Who	ブレンダ	Brenda				at the same time 37?	
40	対象文	ブレンダは硬直していた	Brenda was stiff					
40	情報源	ラウンドヘイの発言	Remark by Roundhay					
40	hasPredicate	硬直していた	stiffen			MOD		
40	Who	ブレンダ	Brenda				at the same time 37?	
41	対象文	オーウェンとジョージはブレンダの両脇に座っていた	Owen and George sat on both sides of Brenda					
41	情報源	ラウンドヘイの発言	Remark by Roundhay					
41	hasPredicate	座っていた	sit			MOD		
41	Who	オーウェン	Owen					
41	Who	ジョージ	George					
41	Where	ブレンダの両脇	both sides of Brenda			MOD	at the same time 37?	
42	対象文	オーウェンとジョージは馬鹿笑いしていた	Owen and George were laughing					
42	情報源	ラウンドヘイの発言	Remark by Roundhay					
42	hasPredicate	馬鹿笑いしていた	laughing			MOD		
42	Who	オーウェン	Owen					
42	Who	ジョージ	George				at the same time 37?	
43	対象文	オーウェンとジョージは喚いていた	Owen and George were summoning					
43	情報源	ラウンドヘイの発言	Remark by Roundhay					
43	hasPredicate	喚いていた	shouting			MOD		
43	Who	オーウェン	Owen					
43	Who	ジョージ	George				at the same time 37?	
44	対象文	オーウェンとジョージは歌っていた	Owen and George were singing					
44	情報源	ラウンドヘイの発言	Remark by Roundhay					
44	hasPredicate	歌っていた	singing			MOD		
44	Who	オーウェン	Owen					
44	Who	ジョージ	George				at the same time 37?	
45	対象文	オーウェンとジョージの神経は損なわれていた	Owen and George's nerve was damaged					
45	情報源	ラウンドヘイの発言	Remark by Roundhay					
45	hasPredicate	損なわれていた	beDamaged			MOD		
45	Who	オーウェン	Owen					
45	Who	ジョージ	George					
46	対象文	オーウェンとジョージとブレンダは恐怖の表情を持っていた	Owen and George and Brenda had a look of fear					
46	情報源	ラウンドヘイの発言	Remark by Roundhay					
46	hasPredicate	していた	have			MOD		
46	Who	ジョージ	George					
46	Who	ブレンダ	Brenda					
46	Who	オーウェン	Owen					
46	What	恐怖の表情	Expression of fear				at the same time 37?	
47	対象文	家には、ポーターがいた	There was a porter at home					
47	情報源	ラウンドヘイの発言	Remark by Roundhay					
47	hasPredicate	いた	exist			MOD		
47	Who	ポーター	Porter					
47	Where	家	House				トリジェニス家にしては？	
48	対象文	ポーターはコックである	The porter is a cook					
48	情報源	ラウンドヘイの発言	Remark by Roundhay					
48	hasProperty	である	equalTo			MOD		
48	What	コック	cook			MOD		
48	Who	ポーター	Porter					
49	対象文	ポーターは家政婦である	Porter is a housekeeper					
49	情報源	ラウンドヘイの発言	Remark by Roundhay					
49	hasProperty	である	equalTo			MOD		
49	What	家政婦	housekeeper			MOD		
49	Who	ポーター	Porter					
50	対象文	ポーターは以下を言った	The porter said					
50	情報源	ラウンドヘイの発言	Remark by Roundhay					
50	hasPredicate	言った	say			MOD		
50	Who	ポーター	Porter					
50	What	51,52	51, 52					
51	対象文	昨晩、ポーターは熟睡していた	The porter had a deep sleep last night					
51	情報源	ポーターの発言	Porter's statement				Remark by Porter	
51	hasPredicate	寝ていた	sleeping			MOD		
51	When	昨晩	Last night					
51	Who	ポーター	Porter					
51	How	深く	deeply			MOD		
52	対象文	昨晩、ポーターは何も聞こえなかった	Last night, the porter did not hear anything					
52	情報源	ポーターの発言	Porter's statement					
52	hasPredicate	聞こえなかった	cannotHear			MOD（hasPredicate/Propertyのチェックはここまで）		
52	When	昨晩	Last night					
52	Who	ポーター	Porter					
52	What	何も	nothing					
53	対象文	オーウェンとジョージとブレンダは何も盗まれなかった	Owen, George, and Brenda didn't steal anything					
53	情報源	ラウンドヘイの発言	Remark by Roundhay					
53	hasPredicate	盗まれなかった	notBeStolen					
53	Who	ジョージ	George					
53	Who	ブレンダ	Brenda					
53	Who	オーウェン	Owen					
53	What	何も	nothing					
54	対象文	トリジェニス家は荒らされなかった	The Trigenis family was not ruined					
54	情報源	ラウンドヘイの発言	Remark by Roundhay					
54	hasPredicate	荒らされなかった	notBeRuined					
54	Who	トリジェニス家	House of Trigenis			MOD		
55	対象文	ラウンドヘイはブレンダの死の理由を分からない	Roundhay does not know the reason for Brenda's death					
55	情報源	ラウンドヘイの発言	Remark by Roundhay					
55	hasPredicate	分からない	notKnow					
55	Who	ラウンドヘイ	Roundhay					
55	What	ブレンダの死の理由	reason of death of Brenda			MOD		
56	対象文	ラウンドヘイはオーウェンとジョージの狂気の理由をわからない	Roundhay does not know the reason for Owen and George's madness					
56	情報源	ラウンドヘイの発言	Remark by Roundhay					
56	hasPredicate	わからない	notKnow					
56	Who	ラウンドヘイ	Roundhay					
56	What	オーウェンとジョージの狂気の理由	reason of madness of Owen AND reason of madness of George			MOD	42,43,44,45,46?	
57	対象文	ホームズは以下を思った	Holmes thought the following					
57	情報源							
57	hasPredicate	思った	think				think? 他も過去形あり	
57	Who	ホームズ	Holmes					
57	What	58	58					
58	対象文	事件は異常な性質を持つ	Incidents have an unusual nature					
58	情報源	ホームズの考え	Holmes's thoughts				Idea of Holmes	
58	hasPredicate	持つ	have					
58	Who	事件	Case 1					
58	What	異常な性質	Unusual nature					
59	対象文	ラウンドヘイは以下を言った	Roundhay said the following					
59	情報源							
59	hasPredicate	言った	say					
59	Who	ラウンドヘイ	Roundhay					
59	What	60-65	60-65				60,61,62,63,64,65	
60	対象文	ラウンドヘイはトリジェニス家にいかなかった	Roundhaye did not go to Trigenis					
60	情報源	ラウンドヘイの発言	Remark by Roundhay					
60	hasPredicate	いかなかった	notGo					
60	Who	ラウンドヘイ	Roundhay					
60	Where	トリジェニス家	House of Trigenis			MOD		
61	対象文	モーティマーは牧師館へ説明のために来た	Mortimer came to the pastor to explain					
61	情報源	ラウンドヘイの発言	Remark by Roundhay					
61	hasPredicate	来た	come					
61	Who	モーティマー	Mortimer					
61	To	牧師館	pastoral hall			MOD		
61	Why	説明のため	explanation			MOD		Why
62	対象文	ラウンドヘイはホームズに相談するために来た	Roundhaye came to consult Holmes					
62	情報源	ラウンドヘイの発言	Remark by Roundhay					
62	hasPredicate	来た	come					
62	Who	ラウンドヘイ	Roundhay					
62	Whom	ホームズ	Holmes					
62	Why	相談するために	consult			MOD		
64	対象文	トリジェニス家はポルドュー湾のコテージから1マイル離れている	The Trigenis are a mile from a cottage in the Gulf of Pordew					
64	情報源	ラウンドヘイの発言	Remark by Roundhay					
64	hasPredicate	離れている	far					
64	Who	トリジェニス家	House of Trigenis			MOD		
64	From	ポルドュー湾のコテージ	cottage of Pordeux Bay			MOD		From
64	How	1マイル	1 mile					
65	対象文	トリジェニス家はポルドュー湾のコテージより内陸にある	The Turgenis family is inland from a cottage in the Gulf of Pordeux					
65	情報源	ラウンドヘイの発言	Remark by Roundhay					
65	hasPredicate	ある	exist					
65	Who	トリジェニス家	House of Trigenis			MOD		
65	Where	内陸	Inland			MOD		
65	From	ポルドュー湾のコテージ	cottages of Pordeux Bay			MOD		
66	対象文	モーティマーは黙っていた	Mortimer was silent					
66	情報源							
66	hasPredicate	黙っていた	silence					
66	Who	モーティマー	Mortimer				at the same time 59?	
67	対象文	ラウンドヘイは感情を前面に出してきた	Roundhay brought emotions to the fore					
67	情報源							
67	hasPredicate	出してきた	come out					
67	Who	ラウンドヘイ	Roundhay					
67	What	感情	Emotion					
67	How	前面に	On the front				at the same time 59?	Howに変更
68	対象文	ワトソンは以下を思った	Watson thought the following					
68	情報源							
68	hasPredicate	思った	think					
68	Who	ワトソン	Watson					
68	What	69,70	69, 70					
69	対象文	モーティマーは自制をしていた	Mortimer was in self-control					
69	情報源	ワトソンの推測	Idea of Watson				Idea of Watson	
69	hasProperty	自制していた	inControl					
69	Who	モーティマー	Mortimer				at the same time 59?	
70	対象文	モーティマーはラウンドヘイより興奮していた	Mortimer was more excited than Roundhay					
70	情報源	ワトソンの推測	Idea of Watson					
70	hasPredicate	興奮していた	excited					
70	Who	モーティマー	Mortimer					
70	How	ラウンドヘイより	From Roundhay				at the same time 59?	
71	対象文	モーティマーは以下を言った	Mortimer said the following					
71	情報源							
71	hasPredicate	言った	say					
71	Who	モーティマー	Mortimer					
71	What	72-105	72-105					
72	対象文	モーティマーはトリジェニス家で食事をとった	Mortimer had a meal at Trigenis					
72	情報源	モーティマーの発言	Mortimer's statement					
72	hasPredicate	食事した	eat					
72	Who	モーティマー	Mortimer					
72	Where	トリジェニス家	House of Trigenis			MOD		
73	対象文	ジョージが以下を言った	George said the following					
73	情報源	モーティマーの発言	Mortimer's statement					
73	hasPredicate	言った	say					
73	Who	ジョージ	George					
73	What	74	74					
74	対象文	我々はホイストをやる	We do the hoist					
74	情報源	ジョージの発言	George's statement				Remark by George	
74	hasPredicate	やる	play					
74	Who	我々	we					
74	What	ホイスト	Hoist				Hoistってゲーム？	
75	対象文	9時頃に、モーティマーとオーウェンとジョージとブレンダは座った	Around 9 o'clock, Mortimer, Owen, George and Brenda sat down					
75	情報源	モーティマーの発言	Mortimer's statement					
75	hasPredicate	座った	sit					
75	Who	ジョージ	George					
75	Who	ブレンダ	Brenda					
75	Who	モーティマー	Mortimer					
75	Who	オーウェン	Owen					
75	When	9時頃	Around 9 o'clock					
76	対象文	10時15分過ぎに、モーティマーは立ち上がった	After 10:15, Mortimer stood up					
76	情報源	モーティマーの発言	Mortimer's statement					
76	hasPredicate	立ち上がった	stand					
76	When	10時15分過ぎ	10:15 past					
76	Who	モーティマー	Mortimer					
76	then	77	77					
77	対象文	モーティマーはオーウェンとジョージとブレンダと別れた	Mortimer broke up with Owen, George and Brenda					
77	情報源	モーティマーの発言	Mortimer's statement					
77	hasPredicate	別れた	separate					
77	Who	モーティマー	Mortimer					
77	What	オーウェン	Owen					
77	What	ジョージ	George					
77	What	ブレンダ	Brenda					
78	対象文	モーティマーとオーウェンとジョージとブレンダは良い雰囲気を持っていた	Mortimer, Owen, George and Brenda had a good atmosphere					
78	情報源	モーティマーの発言	Mortimer's statement					
78	hasPredicate	だった	have					
78	Who	ジョージ	George					
78	Who	ブレンダ	Brenda					
78	Who	モーティマー	Mortimer					
78	Who	オーウェン	Owen					
78	How	良い雰囲気	good atmosphere					
79	対象文	ポーターは寝ていた	The porter was sleeping					
79	情報源	モーティマーの発言	Mortimer's statement					
79	hasPredicate	寝ていた	sleeping					
79	Who	ポーター	Porter					
80	対象文	モーティマーは一人で広間から出た	Mortimer went out of the hall alone				at the same time 79 ?	
80	情報源	モーティマーの発言	Mortimer's statement					
80	hasPredicate	出た	go					
80	Who	モーティマー	Mortimer					
80	How	一人で	alone					Howに変更
80	From	広間から	hall			MOD		From
81	対象文	モーティマーはドアを後ろ手で閉めた	Mortimer closed the door behind				at the same time 79 ?	
81	情報源	モーティマーの発言	Mortimer's statement					
81	hasPredicate	閉めた	close					
81	Who	モーティマー	Mortimer					
81	What	ドア	door			どこのドアなのか区別すべき？		
81	How	後ろ手で	Behind you					Howに変更
82	対象文	窓がオーウェンとジョージの近くにある	Windows are near Owen and George					
82	情報源	モーティマーの発言	Mortimer's statement					
82	hasPredicate	ある	exist					
82	Who	窓	window					
82	Near	オーウェン	Owen					Near
82	Near	ジョージ	George					
83	対象文	窓は閉まっていた	The window was closed					
83	情報源	モーティマーの発言	Mortimer's statement					
83	hasPredicate	閉まっていた	beClosed					
83	Who	窓	window					
84	対象文	ブラインドは上がっていた	The blinds were up					
84	情報源	モーティマーの発言	Mortimer's statement					
84	hasPredicate	上がっていた	up					
84	Who	ブラインド	blind					
85	対象文	今朝、窓は閉まっていた	The window was closed this morning					
85	情報源	モーティマーの発言	Mortimer's statement					
85	hasPredicate	閉まっていた	beClosed					
85	Who	窓	window					
85	When	今朝	this morning					
86	対象文	今朝、ブラインドは上がっていた	The blind was up this morning					
86	情報源	モーティマーの発言	Mortimer's statement					
86	hasPredicate	上がっていた	up					
86	Who	ブラインド	blind					
86	When	今朝	this morning					
87	対象文	部外者は出入りしていない	Outsiders are not in and out					
87	情報源	モーティマーの発言	Mortimer's statement					
87	hasPredicate	出入りしていない	notGoOut					
87	Who	部外者	Outsider					
89	対象文	オーウェンとジョージは座っていた	Owen and George sat					
89	情報源	モーティマーの発言	Mortimer's statement					
89	hasPredicate	座っていた	sit					
89	Who	オーウェン	Owen					
89	Who	ジョージ	George					
90	対象文	オーウェンとジョージは恐怖のために狂っていた	Owen and George were crazy for fear					
90	情報源	モーティマーの発言	Mortimer's statement					
90	hasPredicate	狂っていた	crazy					
90	Who	オーウェン	Owen					
90	Who	ジョージ	George					
90	Why	恐怖のため	fear			MOD		Why
91	対象文	ブレンダは首を椅子の肘あてにのせていた	Brenda put his neck on the chair's elbow					
91	情報源	モーティマーの発言	Mortimer's statement					
91	hasPredicate	のせていた	put					
91	Who	ブレンダ	Brenda					
91	What	首	neck				「首」＝「モーティマーの首」	
91	On	椅子の肘あて	Chair elbow					On
92	対象文	ブレンダは死んでいた	Brenda was dead					
92	情報源	モーティマーの発言	Mortimer's statement					
92	hasPredicate	死んでいた	dead					
92	Who	ブレンダ	Brenda				at the same time 91?	
93	対象文	犯人は悪魔である	The criminal is a demon					
93	情報源	モーティマーの発言	Mortimer's statement					
93	hasPredicate	である	equalTo					
93	What	悪魔	Demon					
93	Who	犯人	Criminal					
94	対象文	犯人は部屋に入りこんだ	The criminal entered the room					
94	情報源	モーティマーの発言	Mortimer's statement					
94	hasPredicate	入りこんだ	enter					
94	Who	犯人	Criminal					
94	To	部屋	room				then 95?	
95	対象文	犯人はオーウェンとジョージとブレンダの理性を打ち砕いた	The perpetrator shattered Owen and George and Brenda's reason					
95	情報源	モーティマーの発言	Mortimer's statement					
95	hasPredicate	打ち砕いた	crush					
95	Who	犯人	Criminal					
95	What	オーウェンの理性	control of Owen			MOD		
95	What	ジョージの理性	control of George			MOD		
95	What	ブレンダの理性	control of Brenda			MOD		
96	対象文	昔、モーティマーはオーウェンとジョージとブレンダと意見を違えた	Once upon a time, Mortimer disagreed with Owen and George and Brenda					
96	情報源	モーティマーの発言	Mortimer's statement					
96	hasPredicate	食い違った	notAgree					
96	When	昔	Long time ago					
96	Who	モーティマーの意見	opinion of Mortimer			MOD		
96	What	オーウェンの意見	opinion of Owen			MOD		
96	What	ジョージの意見	opinion of George			MOD		
96	What	ブレンダの意見	opinion of Brenda			MOD		
97	対象文	モーティマーとオーウェンとジョージとブレンダは錫鉱夫の家に生まれた	Mortimer, Owen, George, and Brenda were born to Tin Miners					
97	情報源	モーティマーの発言	Mortimer's statement					
97	hasPredicate	生まれた	beBorn					
97	Who	ジョージ	George					
97	Who	ブレンダ	Brenda					
97	Who	モーティマー	Mortimer					
97	Who	オーウェン	Owen					
97	Where	錫鉱夫の家	house of Tin miner			MOD		
98	対象文	錫鉱夫はある会社に事業を売却した	Tin miners sold their business to a company					
98	情報源	モーティマーの発言	Mortimer's statement					
99	hasPredicate	売却した	sell					
98	Who	錫鉱夫	Tin miner					
98	To	会社	company			MOD	「に」は不要	
99	What	事業	business				"then 100?		
IDは「99」ではなく「98」では？"	
100	対象文	錫鉱夫は十分な資金を得た	Tin miners got enough money					
100	情報源	モーティマーの発言	Mortimer's statement					
100	hasPredicate	得た	obtain					
100	Who	錫鉱夫	Tin miner					
100	What	十分な資金	Sufficient funds				then 101?	
101	対象文	錫鉱夫は引退した	Tin miner retired					
101	情報源	モーティマーの発言	Mortimer's statement					
101	hasPredicate	引退した	retire					
101	Who	錫鉱夫	Tin miner					
102	対象文	モーティマーは金銭の配分に不満だった	Mortimer was unhappy with the distribution of money					
102	情報源	モーティマーの発言	Mortimer's statement					
102	hasPredicate	不満だった	dissatisfied					
102	Who	モーティマー	Mortimer					
102	What	金銭の配分に	distribution of money			MOD	「に」は不要	
103	対象文	モーティマーは、オーウェンとジョージとブレンダと問題を持った	Mortimer had problems with Owen and George and Brenda					
103	情報源	モーティマーの発言	Mortimer's statement					
103	hasPredicate	持った	have					
103	Who	モーティマー	Mortimer					
103	Whom	オーウェン	Owen					Whom
103	Whom	ジョージ	George					Whom
103	Whom	ブレンダ	Brenda					Whom
103	What	問題	problem					
104	対象文	問題は忘れられた	The problem was forgotten					
104	情報源	モーティマーの発言	Mortimer's statement					
104	hasPredicate	忘れられた	beForgotten					
104	Who	問題	problem					
105	対象文	現在、モーティマーはオーウェンとジョージとブレンダと友情を持った	Currently, Mortimer has made friendship with Owen, George, and Brenda					
105	情報源	モーティマーの発言	Mortimer's statement					
105	hasPredicate	持った	have					
105	Who	モーティマー	Mortimer					
105	Whom	オーウェン	Owen					Whom
105	Whom	ジョージ	George					Whom
105	Whom	ブレンダ	Brenda					Whom
105	What	友情	friendship					
105	When	現在	Current					
106	対象文	モーティマーはしばらく考えた	Mortimer thought for a while					
106	情報源	モーティマーの発言	Mortimer's statement					
106	hasPredicate	考えた	think					
106	Who	モーティマー	Mortimer					
106	What	しばらく	for a while				whatは変	
107	対象文	モーティマーは以下を言った	Mortimer said the following					
107	情報源							
107	hasPredicate	言った	say					
107	Who	モーティマー	Mortimer					
107	What	108-141	108-141					
