ID	Property	原文	英訳	絶対時間	Type	RDF用コメント	修正コメント	修正作業		
34	hasPredicate	現れる	appear							
34	Who	サザランド	Sutherland		Person		then 35?			
34	then	35	35							
35	対象文	ホームズはサザランドを迎える	Holmes welcomes Sutherland							
35	情報源									
35	hasPredicate	迎える	welcome		#ORG:hasPredicate:Welcome					
35	Who	ホームズ	Holmes		Person					
35	What	サザランド	Sutherland		Person		then 36?			
35	then	36	36							
36	対象文	ホームズは扉を閉める	Holmes shuts the door							
36	情報源									
36	hasPredicate	閉める	close		#ORG:hasPredicate:Close					
36	Who	ホームズ	Holmes		Person					
36	What	扉	door		Object		then 37?			
37	対象文	ホームズは肘掛け椅子を勧める	Holmes recommends an armchair							
37	情報源									
37	hasPredicate	勧める	recommend							
37	Who	ホームズ	Holmes		Person		then 38?			
37	What	肘掛け椅子	Armchair		Object		"椅子の扱いにばらつきがある(ID1参照)		
 WhereならtargetのtypeはPlaceにするなど固定したい		
 変更するならWhere->what?"			
37	then	38	38							
38	対象文	ホームズはサザランドをながめ回す	Holmes looks over Sutherland							
38	情報源									
38	hasPredicate	ながめ回す	lookAround		#ORG:hasPredicate:Look around					
38	Who	ホームズ	Holmes		Person					
38	What	サザランド	Sutherland		Person		then 39?			
38	then	39	39							
39	対象文	ホームズは以下を言った	Holmes said the following							
39	情報源									
39	hasPredicate	言う	say					「言った」→「言う」		
39	Who	ホームズ	Holmes		Person					
39	What	40	40							
40	対象文	近眼はタイプ打ちにつらい	Myopia is hard to type							
40	情報源	ホームズの発言	Remark by Holmes					ホームズの発言		
40	hasProperty	つらい	hard		#ORG:hasPredicate:Hard					
40	What	近眼	Near sight		Object		「who->近眼」は変			
40	When	タイプ打ち	Typing					whenに変更		
41	対象文	サザランドは以下を言った	Sutherland said the following							
41	情報源									
41	hasPredicate	言う	say					「言った」→「言う」		
41	Who	サザランド	Sutherland		Person					
41	What	42,43	42,43		Object		then 44?			
42	対象文	近眼はつらい	Myopia is hard							
42	情報源	ホームズの発言	Remark by Holmes					ホームズの発言		
42	hasProperty	つらい	hard		#ORG:hasPredicate:Hard					
42	Who	近眼	Near sight		Object		「who->近眼」は変			
43	対象文	サザランドは文字の位置がわかる	Sutherland knows the position of the character							
43	情報源	ホームズの発言	Remark by Holmes							
43	hasPredicate	わかる	recognize		#ORG:hasPredicate:Recognize					
43	Who	サザランド	Sutherland		Person					
43	What	文字の位置	Character position		Object			whatに変更		
44	対象文	サザランドはホームズの言葉の意味に気づく	Sutherland notices the meaning of the words of Holmes							
44	情報源									
44	hasPredicate	気づく	notice							
44	Who	サザランド	Sutherland		Person					
44	What	ホームズの言葉の意味に	meaning of word of Holmes		Object	MOD	then 45?			
44	then	45	45							
45	対象文	サザランドは驚いた	Sutherland was surprised							
45	情報源									
45	hasPredicate	驚く	beSurprised					「驚いた」→「驚く」		#ORG:hasPredicate:isSurprised
45	Who	サザランド	Sutherland		Person					
47	対象文	サザランドは以下を思った	Sutherland thought that							
47	情報源									
47	hasPredicate	思う	think					「思った」→「思う」		
47	Who	サザランド	Sutherland		Person					
47	What	48	48		Object					
48	対象文	ホームズはサザランドをすでに知っている	Holmes already knows Sutherland							
48	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
48	hasPredicate	知っている	know							
48	Who	ホームズ	Holmes		Person					
48	What	サザランド	Sutherland		Person					
49	対象文	ホームズは以下を言った	Holmes said the following							
49	情報源									
49	hasPredicate	言う	say					「言った」→「言う」		
49	Who	ホームズ	Holmes		Person					
49	What	51	51		Object					
51	対象文	ホームズは他人の見落としがわかる	Holmes finds out that others overlook							
51	情報源	ホームズの発言	Remark by Holmes					ホームズの発言		
51	hasPredicate	わかる	recognize		#ORG:hasPredicate:Recognize					
51	Who	ホームズ	Holmes		Person					
51	What	他人の見落とし	Oversight of others		Object					
52	対象文	サザランドは以下を言った	Sutherland said the following							
52	情報源									
52	hasPredicate	言う	say					「言った」→「言う」		
52	Who	サザランド	Sutherland		Person					
52	What	53-79	53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79		Object					
53	対象文	サザランドはホームズをエサリッジから聞いた	Sutherland heard Holmes from Etheridge							
53	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
53	hasPredicate	聞く	hear					「聞いた」→「聞く」		
53	Who	サザランド	Sutherland		Person					
53	What	ホームズ	Holmes		Person					
53	From	エサリッジ	Etheridge		Person	MOD, byが必要？	Whom?	From		
54	対象文	ホームズはエサリッジの夫を簡単に見つけた	Holmes easily found Etheridge's husband							
54	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
54	hasPredicate	見つける	locate					「見つけた」→「見つける」		
54	Who	ホームズ	Holmes		Person					
54	What	エサリッジの夫	husband of Etheridge		Person	MOD	対応する人物名が登場しないか要確認			
54	How	簡単に	simply					Howに変更		
55	対象文	警察はエサリッジの夫の死亡を断定していた	Police had ruled that Esridge's husband had died							
55	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
55	hasPredicate	断定している	beConvinced					「断定していた」→「断定している」		#ORG:hasPredicate:IsConvinced
55	Who	警察	police		Person	この場合の警察は人として扱うか，組織として扱うか（もしくは両方？）	who? person?			
55	What	エサリッジの夫の死亡	death of husband of Etheridge		Object	MOD				
56	対象文	サザランドは裕福ではない	Sutherland is not rich							
56	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
56	hasProperty	裕福ではない	notRich							
56	Who	サザランド	Sutherland		Person					
57	対象文	サザランドは一年に百ドルを稼ぐ	Sutherland earns one hundred dollars a year							
57	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
57	hasPredicate	稼ぐ	earn		#ORG:hasPredicate:Earn					
57	Who	サザランド	Sutherland		Person					
57	What	百ドル	One hundred dollars		Object					
57	When	一年	one year							
58	対象文	サザランドはタイプ打ちである	Sutherland is a typing							
58	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
58	hasProperty	タイプ打ちである	typist		#ORG:hasProperty:Type					
58	Who	サザランド	Sutherland		Person					
60	対象文	ホームズがホズマを見つける	Holmes find Hozma							
60	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
60	hasPredicate	見つける	locate							
60	Who	ホームズ	Holmes		Person					
60	What	ホズマ	Hozma		Person					
62	対象文	サザランドは稼ぎをホームズに渡す	Sutherland hands over to Holmes							
62	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
62	hasPredicate	渡す	handOver		#ORG:hasPredicate:hand over					
62	Who	サザランド	Sutherland		Person					
62	What	稼ぎ	Earning		Object					
62	What	ホームズ	Holmes		Object					
62	if	60	60				「に」は不要．それに伴い，what, objectも変更			
63	対象文	サザランドは家を飛び出した	Sutherland jumped out of the house							
63	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
63	hasPredicate	飛び出す	jumpOut					「飛び出した」→「飛び出す」		#ORG:hasPredicate:Jump out
63	Who	サザランド	Sutherland		Person					
63	From	家	House of Sutherland		Object	MOD	Place?サザランドの家としたほうが良いか?	From		
64	対象文	サザランドは腹を立てている	Sutherland is angry							
64	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
64	hasProperty	腹を立てている	angree				怒っている　くらいでよいか？		#ORG:hasPredicate:Angree	
64	Who	サザランド	Sutherland		Person					
65	対象文	ウィンディバンクは呑気である	Windybank is naive							
65	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
65	hasProperty	呑気である	careless			MOD		hasPredicate ⇒ hasProperty		#ORG:hasProperty:Nausea
65	Who	ウィンディバンク	Windybank		Person					
66	対象文	ウィンディバンクは警察に行きたくない	Windybank does not want to go to the police							
66	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
66	hasPredicate	行きたくない	unwillingToGo		#ORG:hasPredicate:UnwillingToGo					
66	Who	ウィンディバンク	Windybank		Person					
66	Where	警察	police		Object		「警察」が人や場所の意で出てくるので区別したい	Whereに変更		
67	対象文	ウィンディバンクはホームズを訪ねたくない	Windybank does not want to visit Holmes							
67	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
67	hasPredicate	訪ねたくない	notWantToVisit		#ORG:hasPredicate:NotWantToVisit					
67	Who	ウィンディバンク	Windybank		Person					
67	Whom	ホームズ	Holmes		Person		whereは変，typeも変	Whereに変更		
68	対象文	ウィンディバンクはサザランドの義理の父である	Windybank is Sutherland's father-in-law							
68	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
68	hasProperty	である	equalsTo							
68	Who	ウィンディバンク	Windybank		Person					
68	What	サザランドの義理の父	father-in-law of Sutherland		Person	MOD	2019/08/24古崎修正			
69	対象文	ウィンディバンクはサザランドより5年2ヶ月年上である	Windybank is 5 years and 2 months older than Sutherland							
69	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
69	hasProperty	年上である	older			MOD	分けてHowで5 years 2months?			
69	How	5年2ヶ月	5 years 2 months 			MOD				
69	Who	ウィンディバンク	Windybank		Person					
69	Whom	サザランド	Sutherland		Person	MOD	「より」は不要，typeなども変更			
70	対象文	サザランドの母は元気である	mother of Sutherland is fine							
70	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
70	hasProperty	元気である	fine		#ORG:hasProperty:Fine					
70	Who	サザランドの母	mother of Sutherland		Person	MOD	対応する人物名がないか要確認			
71	対象文	サザランドの母は丈夫である	mother of Sutherland is strong							
71	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
71	hasProperty	丈夫である	strong				である/It isの削除（以降も同様）			
71	Who	サザランドの母	mother of Sutherland		Person	MOD	対応する人物名がないか要確認			
72	対象文	サザランドの母はサザランドの父の死後に再婚した	mother of Sutherland remarried after Sutherland&#39;s father&#39;s death							
72	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
72	hasPredicate	再婚する	getMarriedAgain					「再婚した」→「再婚する」		#ORG:hasPredicate:Get married again
72	Who	サザランドの母	mother of Sutherland		Person	MOD				
72	When	サザランドの父の死後	After death of father of Sutherland			MOD				
73	対象文	サザランドの父はトテナム・コート通りで配管業である	Sutherland's father is a plumber in Totenham Court							
73	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
73	hasProperty	配管業である	plumbing business							
73	Who	サザランドの父	father of Sutherland		Person	MOD	対応する人物名がないか要確認			
73	Where	トテナム・コート通り	Totenham Court street		Place					
74	対象文	サザランドの父は店を残した	Sutherland's father left a store							
74	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
74	hasPredicate	残す	leave					「残した」→「残す」		
74	Who	サザランドの父	father of Sutherland		Person	MOD				
74	What	店	shop of father of Sutherland		Object	MOD	意味的には「サザランドの父の店」			
75	対象文	サザランドの母はハーディと続けていた	mother of Sutherland continued with Hardy					意味変わってないか？→修正済み		
75	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
75	hasPredicate	続けている	continuing					「続けていた」→「続けている」		
75	Who	サザランドの母	mother of Sutherland		Person	MOD				
75	Whom	ハーディ	Hardy		Person			Whom		
75	What	店を	shop of father of Sutherland		Object	MOD		Whatに変更		
76	対象文	ハーディは現場頭である	Hardy is the head of the scene							
76	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
76	hasProperty	現場頭である	field head		#ORG:hasProperty:Field head					
76	Who	ハーディ	Hardy		Person					
77	対象文	ウィンディバンクはサザランドの父の店を売らせた	Windybank sold her father's shop in Sutherland							
77	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
77	hasPredicate	売らせる	sell					「売らせた」→「売らせる」		#ORG:hasPredicate:Sell
77	Who	ウィンディバンク	Windybank		Person					
77	What	サザランドの父の店	shop of father of Sutherland		Object	MOD	「店」と「サザランドの父の店」が混ざって存在			
78	対象文	ウィンディバンクはワインの外商である	Windybank is a wine commerce							
78	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
78	hasProperty	ワインの外商である	foreign trade of wine		#ORG:hasProperty:Foreign trade of wine	MOD				
78	Who	ウィンディバンク	Windybank		Person					
79	対象文	サザランドの父の店は4700ポンドで売れた	Sutherland's father';s store sold for ｡・4700							
79	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
79	hasPredicate	売れる	sell					「売れた」→「売れる」		
79	Who	サザランドの父の店	shop of father of Sutherland		Object	MOD	whoは変			
79	What	4700ポンド	4700 GBP		Object	MOD	「で」は不要			
80	対象文	サザランドは以下を思う	Sutherland thinks the following							
80	情報源									
80	hasPredicate	思う	think							
80	Who	サザランド	Sutherland		Person					
80	What	81	81		Object					
81	対象文	サザランドの父が以下を思う	Sutherland's father thinks of							
81	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
81	hasPredicate	思う	think							
81	Who	サザランドの父	father of Sutherland		Person	MOD	対応する人物確認			
81	What	82	82		Object					
82	対象文	4700ポンドは少額である	4700 pounds is small							
82	情報源	サザランドの父の考え	Sutherland's Father's Thoughts					サザランドの父の考え		
82	hasProperty	少額である	small		#ORG:hasProperty:It is small					
82	Who	4700ポンド	4700 GBP		Object	MOD				
83	対象文	ワトソンは以下を思う	Watson thinks that							
83	情報源									
83	hasPredicate	思う	think							
83	Who	ワトソン	Watson		Person					
83	What	84,85	84,85		Object					
84	対象文	ホームズはサザランドの話にいらだっている	Holmes is annoyed with Sutherland's story							
84	情報源	ワトソンの考え	Watson's thoughts					ワトソンの考え		
84	hasProperty	いらだっている	irritated		#ORG:hasPredicate:Irritated					
84	Who	ホームズ	Holmes		Person					
84	What	サザランドの話	story of Sutherland		Object	MOD	whomは変	Whom		
85	対象文	ホームズはサザランドの話に集中している	Holmes are concentrating on Sutherland's story							
85	情報源	ワトソンの考え	Watson's thoughts					ワトソンの考え		
85	hasPredicate	集中している	focus		#ORG:hasPredicate:focusing					
85	Who	ホームズ	Holmes		Person					
85	What	サザランドの話	story of Sutherland		Object	MOD	whomは変	Whom		
86	対象文	サザランドが以下を言った	Sutherland said the following							
86	情報源									
86	hasPredicate	言う	say					「言った」→「言う」		
86	Who	サザランド	Sutherland		Person					
86	What	87,88,89,90,91,92,93	87-93		Object					
87	対象文	サザランドの収入はネッドの遺産である	Sutherland's income is Ned&#39;s heritage							
87	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
87	hasProperty	ネッドの遺産である	heritage of Ned		#ORG:hasProperty:It is a heritage of Ned	MOD				
87	What	サザランドの収入	income of Sutherland		Object	MOD	whoは変			
88	対象文	ネッドはサザランドの伯父である	Ned is Sutherland's uncle							
88	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
88	hasProperty	である	equalsTo							
88	Who	ネッド	Ned		Person					
88	What	サザランドの伯父	uncle of Sutherland		Person	MOD				
89	対象文	ネッドはオークランドにいる	Ned is in Auckland							
89	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
89	hasPredicate	いる	exist		#ORG:hasPredicate:Exist					
89	Who	ネッド	Ned		Person					
89	Where	オークランド	Auckland		Place		Object->Place			
90	対象文	遺産はニュージーランド株である	Heritage is a New Zealand strain							
90	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
90	hasProperty	ニュージーランド株である	shares of New Zealand			MOD				
90	What	遺産	heritage		Object		whoは変			
91	対象文	遺産の配当は四分五厘である	The dividend of the heritage is quarter and five o'clock							
91	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
91	hasProperty	四分五厘である	quarter five					hasPredicate ⇒ hasProperty		#ORG:hasProperty:It is a quarter five
91	What	遺産の配当	dividend of heritage		Object	MOD	whoは変			
92	対象文	遺産の額面は2500ポンドである	The face value of the heritage is ｡・2500							
92	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
92	hasProperty	2500ポンドである	2500 GBP		#ORG:hasProperty:It is 2500 pounds	MOD				
92	What	遺産の額面	Face value of heritage		Object	MOD	whoは変			
93	対象文	サザランドは利回りを貰える	Sutherland gives yield							
93	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
93	hasPredicate	貰える	get							
93	Who	サザランド	Sutherland		Person					
93	What	利回り	yield of heritage		Object	MOD				
94	対象文	ホームズは以下を思った	Holmes thought the following							
94	情報源									
94	hasPredicate	思う	think					「思った」→「思う」		
94	Who	ホームズ	Holmes		Person					
94	What	95,96,97,98,99	95,96,97,98,99		Object					
95	対象文	サザランドは興味深い	Sutherland is interesting							
95	情報源	ホームズの考え	Remark by Holmes					ホームズの考え		
95	hasProperty	興味深い	interesting		#ORG:hasPredicate:Interesting					
95	Who	サザランド	Sutherland		Person					
96	対象文	サザランドは一年に100ポンドをもらえる	Sutherland gets 100 pounds a year							
96	情報源	ホームズの考え	Remark by Holmes					ホームズの考え		
96	hasPredicate	もらえる	get		#ORG:hasPredicate:Get					
96	Who	サザランド	Sutherland		Person					
96	What	100ポンド	100 GBP		Object	MOD				
96	When	一年	one year							
97	対象文	サザランドは稼ぎを持つ	Sutherland makes money							
97	情報源	ホームズの考え	Remark by Holmes					ホームズの考え		
97	hasPredicate	持つ	have		#ORG:hasPredicate:Have					
97	Who	サザランド	Sutherland		Person					
97	What	稼ぎ	Earning		Object					
98	対象文	サザランドは余裕を持つ	Sutherland has room							
98	情報源	ホームズの考え	Remark by Holmes					ホームズの考え		
98	hasPredicate	持つ	have		#ORG:hasPredicate:Have					
98	Who	サザランド	Sutherland		Person					
98	What	余裕	margin		Object		bacause 96,99?			
99	対象文	独身女性は60ポンドで十分である	60 pounds is enough for single women							
99	情報源	ホームズの考え	Remark by Holmes					ホームズの考え		
99	hasProperty	十分である	enough		#ORG:hasPredicate:Enough					
99	Who	独身女性	Single women		Person		「女性」はpersonで「独身女性」はobjectになっているので統一			
99	What	60ポンド	60 GBP		Object	MOD	「で」は不要			
100	対象文	サザランドは以下を言った	Sutherland said the following							
100	情報源									
100	hasPredicate	言う	say					「言った」→「言う」		
100	Who	サザランド	Sutherland		Person					
100	What	101-109	101,102,103,104,105,106,107,108,109		Object					
101	対象文	サザランドは60ポンド以下の収入で十分である	Sutherland earns less than ｡・60							
101	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
101	hasProperty	十分である	enough		#ORG:hasPredicate:Enough					
101	Who	サザランド	Sutherland		Person					
101	What	60ポンド以下の収入で	less than 60 GBP		Object	MOD	「で」は不要			
102	対象文	サザランドは親に頼らない	Sutherland does not rely on parents							
102	情報源	サザランドの発言	Remark by Sutherland					サザランドの発言		
102	hasPredicate	頼らない	notRelyOn		#ORG:hasPredicate:not rely on					
